Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Casa de Vila;Tijuca;3;0;0;87;2600.0;0.0;0.0;29.89;Casa
Casa;Campo Grande;2;0;0;55;1000.0;0.0;0.0;18.18;Casa
Apartamento;Taquara;3;0;0;90;2000.0;0.0;14.0;22.22;Apartmento
Casa;Parque Anchieta;2;1;0;70;1250.0;0.0;0.0;17.86;Casa
Casa;Campo Grande;4;3;0;120;1700.0;0.0;0.0;14.17;Casa
Apartamento;Taquara;2;0;0;85;1300.0;0.0;35.0;15.29;Apartmento
Casa de Vila;Quintino Bocaiúva;1;0;0;40;550.0;0.0;0.0;13.75;Casa
Casa de Condomínio;Barra da Tijuca;5;3;2;800;7009.0;0.0;0.0;8.76;Casa
Apartamento;Laranjeiras;3;1;0;85;2900.0;0.0;0.0;34.12;Apartmento
Apartamento;Irajá;2;1;0;60;1200.0;0.0;0.0;20.0;Apartmento
Casa;Campo Grande;2;0;0;60;950.0;0.0;0.0;15.83;Casa
Apartamento;Ipanema;1;0;0;42;3500.0;0.0;0.0;83.33;Apartmento
Casa de Vila;Honório Gurgel;1;0;0;34;800.0;0.0;0.0;23.53;Casa
Casa;Jardim Botânico;4;3;4;452;20000.0;0.0;0.0;44.25;Casa
Casa;Vila da Penha;2;0;0;50;700.0;0.0;0.0;14.0;Casa
Apartamento;Encantado;2;1;0;70;1100.0;0.0;0.0;15.71;Apartmento
Apartamento;Campo Grande;2;0;0;50;850.0;0.0;0.0;17.0;Apartmento
Casa de Vila;Tijuca;2;0;0;95;2000.0;0.0;100.0;21.05;Casa
Apartamento;Copacabana;1;0;0;55;2700.0;0.0;0.0;49.09;Apartmento
Casa;Vigário Geral;2;0;1;176;1300.0;0.0;0.0;7.39;Casa
Casa;Campo Grande;2;2;1;80;1700.0;0.0;2.0;21.25;Casa
Casa;Recreio dos Bandeirantes;4;5;3;600;12000.0;0.0;600.0;20.0;Casa
Casa de Condomínio;Campo Grande;2;1;0;65;800.0;0.0;0.0;12.31;Casa
Casa de Vila;Realengo;1;0;0;70;750.0;0.0;0.0;10.71;Casa
Casa;Urca;4;2;4;330;21000.0;0.0;4200.0;63.64;Casa
Apartamento;Barra da Tijuca;1;1;0;50;6300.0;0.0;0.0;126.0;Apartmento
Casa;Andaraí;3;0;0;125;2900.0;0.0;96.0;23.2;Casa
Apartamento;Copacabana;1;0;0;35;2000.0;0.0;0.0;57.14;Apartmento
Casa;Rio Comprido;8;0;0;412;4000.0;0.0;958.0;9.71;Casa
Apartamento;Ramos;2;0;0;76;1200.0;0.0;0.0;15.79;Apartmento
Casa;Lagoa;6;2;0;750;18000.0;0.0;1800.0;24.0;Casa
Casa de Condomínio;Joá;5;5;5;600;30000.0;0.0;0.0;50.0;Casa
